"SSID","BSSID","Mfg Mac","Worst Problem","AP","Channel","Channel Width","802.11 Type","Signal","SNR","Security","Authorization Class","Basic Rates","TX Power","QBSS Station Count","QBSS Channel Utilization","Channel Changes","Country Code","Retries","Max n Rate","Max ac Rate","Max ax Rate","Max be Rate","Clients","Multi-BSSID","Reduced Neighbor Report","Name","Last Seen"
"Interior2","localAdm:068dcb-6f4f4a","Local:068dcb-6f4f4a","--","Local:068dcb-6f4f4a","44","80","ac,n,a","-72 dBm","18 dB","WPA2-E","Unspecified","12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:068dcb-6f4f4a","Feb 22,2021 01:44PM"
"ILG-Guest","localAdm:0a8dcb-6f4f4a","Local:0a8dcb-6f4f4a","--","Local:068dcb-6f4f4a","44","80","ac,n,a","-72 dBm","18 dB","Open","Unspecified","12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:0a8dcb-6f4f4a","Feb 22,2021 01:44PM"
"Interior","localAdm:0e8dcb-6f4f4a","Local:0e8dcb-6f4f4a","--","Local:068dcb-6f4f4a","44","80","ac,n,a","--","--","WPA2-E","Unspecified","12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:0e8dcb-6f4f4a","Feb 22,2021 01:34PM"
"srmguest","localAdm:623a1e-321628","Local:623a1e-321628","--","CiscoMer:683a1e-321628","1","20","n,g,b","-70 dBm","20 dB","WPA2-P","Unspecified","11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:623a1e-321628","Feb 22,2021 01:44PM"
"XFINITY","Pegatron:c07cd1-bb1842","Pegatron:c07cd1-bb1842","--","Pegatron:c07cd1-bb1842","157","80","ac,n,a","-77 dBm","14 dB","WPA2-E","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Pegatron:c07cd1-bb1842","Feb 22,2021 01:44PM"
"xfinitywifi","Pegatron:c07cd1-bb1841","Pegatron:c07cd1-bb1841","--","Pegatron:c07cd1-bb1842","157","80","ac,n,a","-75 dBm","16 dB","Open","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","1","--","--","Pegatron:c07cd1-bb1841","Feb 22,2021 01:44PM"
"FiOS-AR3HX-5G","Verizon:485d36-8f3658","Verizon:485d36-8f3658","--","Verizon:485d36-8f365a","140","80","ac,n,a","--","--","WPA2-P","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Verizon:485d36-8f3658","Feb 22,2021 01:34PM"
"ILG-Guest","localAdm:0a8ddb-6f4f4a","Local:0a8ddb-6f4f4a","--","Local:068dcb-6f4f4a","11","20","n,g,b","--","--","Open","Unspecified","11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:0a8ddb-6f4f4a","Feb 22,2021 01:34PM"
"CBCI-C226-5","Pegatron:c07cd1-bb1840","Pegatron:c07cd1-bb1840","--","Pegatron:c07cd1-bb1842","157","80","ac,n,a","-75 dBm","15 dB","WPA2-P,WPA-P","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Pegatron:c07cd1-bb1840","Feb 22,2021 01:44PM"
"[Interior2]","localAdm:068ddb-6f4f4a","Local:068ddb-6f4f4a","--","Local:068dcb-6f4f4a","11","20","n,g,b","--","--","WPA2-E","Unspecified","11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:068ddb-6f4f4a","Feb 22,2021 01:34PM"
"[Interior]","CiscoMer:0c8ddb-6f4f4a","CiscoMer:0c8ddb-6f4f4a","--","Local:068dcb-6f4f4a","11","20","n,g,b","--","--","WPA2-E","Unspecified","11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","CiscoMer:0c8ddb-6f4f4a","Feb 22,2021 01:33PM"
"OC-Guest","Cisco:843dc6-72151b","Cisco:843dc6-72151b","--","WA-EVERETT-AP5_","52","20","ac,n,a","--","--","Open","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Cisco:843dc6-72151b","Feb 22,2021 01:36PM"
"[Hidden]","Cisco:843dc6-721511","Cisco:843dc6-721511","--","WA-EVERETT-AP5_","52","20","ac,n,a","--","--","WPA2-P","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Cisco:843dc6-721511","Feb 22,2021 01:36PM"
"[Hidden]","Cisco:843dc6-721515","Cisco:843dc6-721515","--","WA-EVERETT-AP5_","52","20","ac,n,a","--","--","WPA2-P","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Cisco:843dc6-721515","Feb 22,2021 01:36PM"
"OC-Corp","Cisco:843dc6-721516","Cisco:843dc6-721516","--","WA-EVERETT-AP5_","52","20","ac,n,a","--","--","WPA2-E","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Cisco:843dc6-721516","Feb 22,2021 01:36PM"
